device_type
Lenovo Tab 2 A7-30
Lenovo A6000
Samsung Galaxy Tab 3 V
Samsung Galaxy Core 2
Huawei Ascend Y635
ASUS ZenFone 5
Sony Xperia Z2
Samsung Galaxy Tab S 8.4
Samsung Galaxy On7
LG Optimus Zone 3
Samsung Galaxy Amp Prime
Lenovo IdeaTab A1000
RCA Galileo Pro
Oppo F1
Moto G4 Play
Motorola Moto G Dual
Samsung Galaxy Grand
Wiko Jerry
LG Phoenix 3
HTC One M8
Samsung Galaxy S5 Plus
Sony Xperia Z5
RCA Voyager III
ASUS Zenpad 10
Samsung Galaxy J1 (2016)
LG Leon
Samsung Galaxy A9 PRO
Sony Xperia X
Motorola Droid Ultra
Samsung Galaxy E5
Xiaomi Redmi 2
ZTE Blade X Max
HTC Desire 530
RCA Voyager 7
Samsung Galaxy Ace 4
Lenovo A2010
LG V10
Samsung Galaxy Sky
Sony Xperia M2
Samsung Galaxy Tab 3
Lenovo Tab 2 A7-10
Samsung Galaxy Note 5 Duos
Samsung Galaxy Note 3 Neo
Huawei Honor 8
LG G2
HTC One
Alcatel Pixi Unite
Huawei Mediapad T1 10
LG Escape 3
ASUS Zenfone Pegasus 3
Huawei MediaPad T1 8.0 Pro
Sony Xperia M4 Aqua
ASUS ZenFone Max
Vivo Y51L
Sony Xperia XR
LG Spree
Wiko Lenny 2
Samsung Galaxy Tab 3V
Samsung Galaxy Note 8.0
Coolpad Catalyst
Vivo Y55L
Huawei Y3II
Oppo Find 9
Samsung Galaxy E7
LG Treasure
LG X Style
Sony Xperia XA Ultra
Samsung Galaxy J7 Perx
Samsung Galaxy S7 LTE-A
Samsung Galaxy S5 NEO
Samsung Galaxy Tab S2 8.0
RCA 10 Viking Pro 10.1
Lenovo K6 Note
Nextbook Ares 8A
Huawei Y6 PRO TIT-U02
Samsung Galaxy A8
Oppo R9s
Lenovo Vibe K6
Lenovo Vibe P1m
Huawei Ascend G7
Huawei Honor 6X
Google Pixel
Wiko Robby
Lenovo Vibe K5 Note
LG Premier
Samsung Galaxy Express 3
Samsung Galaxy Avant
Lenovo IdeaTab A7-30
Lenovo Vibe K4 Note
Huawei GR3 4G LTE TAG-L01
Oppo A39
Samsung Galaxy J2 4G Duos TV
Lenovo A536
OnePlus 3
Sony Xperia Z3 Compact
Alcatel One Touch Revvl
Xiaomi Mi Max
LG Stylo 2 Plus
Xiaomi Redmi 3
Sony Xperia Z5 Compact
ASUS ZenFone Selfie
Nextbook Ares Tablet
LG Stylo 2 V
Motorola Moto Z Play
Meizu M3 Note
Lenovo C2
Samsung Galaxy Win Duos
ZTE Grand X 4
Samsung Galaxy Luna
Vodafone Smart Prime 7
Samsung Galaxy Alpha
LG Phoenix 2
Samsung Galaxy J1 2016
Huawei P9 Plus
Huawei Y6
LG K20
Huawei Honor 5C
Lenovo Vibe B
ASUS MeMO Pad HD 7
Huawei Honor 5X
Google Pixel XL
Lenovo Tab 2 A7-20
Lenovo K3 Note
ZTE Warp 7
Samsung Galaxy Note Edge
Lenovo Vibe C
Samsung Galaxy Gran Prime Duos TV
Lenovo Tab 2
Huawei Ascend Y560
Huawei Ascend XT
LG G Pad 8.3
HTC One M9
Samsung Galaxy A5 2016
ASUS Zenfone 3
Lenovo IdeaTab A7-50
Lenovo Vibe K5 Plus
Samsung Galaxy Amp 2
Samsung Galaxy Tab Pro 10.1
LG G6 Astro Black
Samsung Galaxy Star Pro
Lenovo K6 Power
Huawei Brooklyn
Vivo V3
Motorola Moto X Play
ZTE Avid Trio
Samsung Galaxy S Duos 2
Google Nexus 5
Huawei GR5
LG K8
ZTE Sonata 3
Sony Xperia Z1
Asus Zenpad 8.0
Samsung Galaxy S8 Active
ZTE ZMAX
Sony Xperia E4
RCA 7 Voyager II 7
LG Fiesta
LG Rebel
Lenovo A6010
ASUS Fonepad 7
Huawei Nova
RCA Voyager
Samsung Galaxy S5 Active
Vodafone Smart Ultra 6
Xiaomi Redmi Note 2
ZTE Majesty Pro
Huawei Honor 7
ASUS Zenfone Go
Huawei G Play Mini
ZTE Grand X 3
Huawei GR3
Alcatel One Touch Phone
Samsung Galaxy Win
Alcatel One Touch Fierce
LG Stylus 2
ASUS ZenFone Go
Amazon Fire Phone
ASUS MeMO Pad 7
Samsung Galaxy Star 2 Plus
Motorola Moto E3 Power
HTC Desire 820G+
Huawei Mate S
Huawei P10 Premium Edition
Huawei Y6 II Compact
Lenovo A7000
Vivo Y51
Wiko Fever
HTC Desire 526G+ Dual
Huawei Ascend Mate 7
Samsung Galaxy Trend Plus
Sony Xperia Tablet Z
Google Nexus 5X
Barnes & Noble Nook
HTC Desire 626
HTC Desire 820
ASUS Zenpad C 7.0
ASUS Zenphone Go
Samsung Galaxy S II
Samsung Galaxy G8
Xiaomi Mi 4i
LG X Cam
HTC Desire 626s
Samsung Galaxy Tab Pro 8.4
OnePlus One
ZTE Blade V7
LG X Screen
Sony Xperia Z1 Compact
Sony Xperia X Compact
Lenovo TAB 2 A8
LG G3 Stylus
Lenovo IdeaTab A8-50
HP Tablet
Samsung Galaxy S4 Mini Duos
Motorola DROID MAXX 2
ASUS Transformer Pad
ZTE Blade A510
Huawei Mediapad T1 8.0
LG K4
Lenovo Yoga Tablet 2
ZTE Grand X Max 2
Huawei GR5 2017
Samsung Galaxy Win 2 Duos TV
Huawei P10 Plus Standard Edition
Vodafone Smart Turbo 7
Acer Iconia A1-810
Lenovo Yoga Tablet 10
Samsung Galaxy S Duos
Sony Xperia C3
Alcatel One Touch Ideal
ZTE Quest
Huawei GT3
LG Tribute 5
ZTE Blade L5 Plus
BQ Aquaris E5
Huawei Y6 Dual
Samsung Galaxy Trend Lite
Samsung Galaxy Tab S3
Lenovo A5000
Huawei Ascend P7
Sony Xperia T2 Ultra
ZTE Zmax 2
Meizu M3S
LG Optimus L5
Huawei Honor Bee
Wiko Sunny
Vivo V3Max
Lenovo A5500 Tablet
Sony Xperia T3
HTC 10
Samsung Galaxy S II Plus
ZTE Blade V6
Wiko Pulp 4G
OnePlus 5
Lenovo Tab3 8
Infinix Hot Note X551
Samsung Galaxy V
BQ Aquaris X5
Oppo Joy 3
LG L Prime
Kyocera Hydro Reach
Sony Xperia M5
ZTE Phone
Samsung Galaxy Mega 5.8
Samsung Galaxy Ace 3
LG Magna
Motorola Moto E2
Wiko Lenny
Wiko Sunset 2
Xiaomi Redmi Note 4G
ASUS MeMO Pad 10
Samsung Galaxy Note Pro
Acer Iconia A3-A10
LG G4 Stylus
Motorola Moto G 4G
Huawei Tablet
Sony Xperia XA Dual
ASUS ZenFone C
Google Nexus 6P
Samsung Galaxy C7
ASUS ZenFone 6
Huawei MediaPad 10 Link+
Xiaomi Mi 5
HTC Desire 510
Samsung Galaxy C5
Lenovo P70
HTC Desire 620G Dual
Huawei P8 Lite 2017
Asus ZenFone Go
Vodafone Smart Ultra 7
LG G3 S
Motorola Moto G3
Wiko U Feel
Sony Xperia Z5 Premium
Samsung Galaxy J3 V
HTC One A9
LG G5 SE
Huawei Honor 4C Pro
LG Spirit
LG G Pad
LG G Pro
Unimax U673C
Cubot Note S
Vodafone Smart Prime 6
Galaxy Tab A 9.7
Samsung Galaxy Core Plus
Doogee Galicia X5
Google Nexus 6
Samsung Galaxy Trend
Huawei MediaPad M3
Samsung Galaxy Tab Pro 12.2
LG K8 V
Oppo Mirror 5
Huawei GX8
ZTE Blade V6 Plus
Alcatel One Touch Pixi Avion
Huawei MediaPad M1 8.0
LG Zone X180G
LG K3
Samsung Galaxy Trend 2 Lite
ZTE Blade A452
LG L Bello
LG Zero
Wiko U Feel Lite
Wiko Rainbow Jam
Lenovo Tab 2 A8
Huawei Ascend Y625
BQ Aquaris U
Xiaomi Redmi Note
ZTE Avid Plus
ZTE Blade V7 Lite
Acer Iconia One 7
Huawei Honor 4C
BQ Aquaris M5
Lenovo Vibe S1
Acer Iconia B1-710
Samsung Galaxy Note
Samsung Galaxy A3 2017
Lenovo Vibe P1
Motorola Droid Mini
Huawei Ascend G620s
ASUS MeMO Pad 8
LG Optimus G
Huawei P8 Lite ALE-L02 (Huawei Alice)
Oppo R7s
Sony Xperia Z2 Tablet
Asus Zenfone 3 Max
Sony Xperia Z3+
Huawei Mate 8
Samsung Galaxy Mega 6.3
YU Yuphoria
Lenovo IdeaTab S6000
Sony Xperia Z Ultra
Google Nexus 10
Samsung Galaxy Xcover 3
ASUS Zenfone 2 Laser 6
Alcatel Pixi 4 5.0 5010X
Huawei MediaPad 7 Youth2
ZTE Maven
Samsung Galaxy S4 Active
ZTE ZFive 2
Alcatel One Touch Idol 3
LG Spirit 4G
Lenovo Sisley S90
Motorola Moto E 2nd Gen
HTC Desire 728
ASUS MeMO Pad FHD 10
Huawei Nova Plus
LG G Pad 8.0
Sony Xperia SP
ZTE Blade L3
Motorola Moto E Dual
Sony Xperia C5 Ultra
LG G Flex
Lenovo Phab Pb1-750M
Huawei Y6 PRO
Xiaomi Mi Pad
ZTE Maven 2
HTC Desire 825
Samsung Galaxy Ace Style
Samsung Galaxy Pocket
BQ Aquarius U Plus
Alcatel Pixi 4
HTC Desire 628
Wiko Pulp FAB 4G
Acer Iconia A1-830
Sony Xperia M4 Aqua Dual
Lenovo S660
ASUS Zenfone 2 Laser
OnePlus Two
Wiko Rainbow 4G
Dell Venue 8
Huawei Ascend Y330
Meizu M5s
Lenovo Vibe K6 Plus
ZTE Blade A610
LeEco Le 1s
Alcatel Ideal
Lenovo S850
Sony Xperia M2 Aqua
Google Nexus 9
Lenovo P2
Meizu M5
ZTE Axon 7 Mini
Meizu M2
Galaxy Note 5
ZTE Blade L2 Plus
Samsung Galaxy Tab Lite
LG Optimus F6
Coolpad Note 3 Lite
Samsung Galaxy S5 New Edition
Kyocera Hydro Icon
Toshiba Tablet
Lenovo A369i
Sony Xperia E3
Alcatel One Touch Pop C5
Lenovo A319
LG G4c
Samsung Galaxy Star
Lenovo TAB 2 A7-30
Samsung Galaxy Xcover 4 2017
Samsung Galaxy Mega
Lenovo Yoga Tablet 8
Samsung Galaxy A9
Meizu M2 Note
Huawei Ascend Y360
LG G Flex2
Xperia C5 Ultra Dual
Samsung Galaxy XCover 4
HTC Desire 626G+
Huawei Honor 6
HTC Desire 610
HTC One M9 Prime Camera Edition
HTC Desire 816G Dual
Lava Iris 870
Oppo Neo 7s
Vodafone Smart Speed 6
Huawei Y635
LG Spirit LTE
LYF FLame 1
Tesco Hudl
LG G4 H810
Sony Xperia Z5 Dual
Samsung Galaxy Fame
Wiko Rainbow Lite
Huawei Mate 9 Pro
ZTE Axon 7
LG Optimus L7
Infinix Note 3 Pro
Alcatel One Touch Phone Pop C7
ASUS ZenFone 4
HTC Desire 728G
Huawei Honor 8 Youth Edition
LG Ultimate 2
ASUS MeMO Pad ME172V
Samsung Galaxy Ace 4 Neo
Sony Xperia M
Sony Xperia L
Le Pan Tablet
LG K3 K100
LeEco Le 1s Eco
Sony Xperia Z3 Tablet Compact
Wiko Rainbow Lite 4G
Huawei Ascend Mate2
Samsung Galaxy Pocket Neo
Xiaomi Mi 4
Lenovo Vibe Shot
Samsung Galaxy Trend Dual
Samsung Galaxy A7 Duos
Cubot Dinosaur
Xiaomi Mi 6
Oppo R7 Lite
Alcatel One Touch Pixi 3
Xiaomi Redmi 1S
Meizu M5s Note
Galaxy Note 3 Neo
Sony Xperia Tablet Z2
Micromax Unite 2
Motorola Moto M
ASUS MeMO Pad Smart
Turkcell T60
Acer Liquid Zest Plus
Sony Xperia Z5 Premium Dual
Sony Xperia Z3 Dual
ASUS Fonepad
Sony Xperia C5 Ultra Dual
Motorola Moto X Style
Oppo R7 Plus
Infinix HOT 2
OnePlus X
Infinix Zero 3
Sony Xperia J
Xiaomi Mi 4c
Lenovo A889
Asus Zenfone 3
LG G4 Beat
Coolpad Note 3
Motorola Moto E3
LG Optimus L5 II
ASUS ZenFone 3 Max
Samsung Galaxy S7 Edge Duos
BQ Aquaris X5 Plus
LG L90 Dual
General Mobile Discovery
Sony Xperia C4 Dual
Sony Xperia XA1
Huawei Ascend Y600
Xiaomi Mi4 LTE
Alcatel One Touch Pop Star 3G
Dell Venue 7
Samsung Galaxy Ace
Samsung Galaxy Light
Meizu Meilan U10
Sony Xperia E1
LG Optimus L90
Samsung Galaxy Y Plus Duos
Doogee X5 MAX Pro
Lenovo A328
Nvidia SHIELD Tablet K1
Oukitel K6000 PRO
Micromax Canvas Nitro
Xiaomi Mi 3
HTC Desire 626G Plus
LG Volt
Samsung Galaxy S6 Edge Plus
LG Bello II
ASUS Fonepad 8
Lenovo A916
Motorola Moto X Pure Edition
HTC Bolt
Xiaomi Mi 5s
Oppo Joy
BLU R1 HD
HTC One Mini 2
LG L80
Xiaomi Redmi Pro
Lenovo Phab Plus
Infinix Note 2
HTC Desire 620
BlackBerry Priv
Galaxy Ace 4 Lite
Acer Liquid Z520
BQ Aquaris E5 HD
Lenovo ZUK Z1
HTC Desire EYE
Samsung Galaxy Young
Google Nexus 4
Allview A5 Easy
LG G2 Mini
Acer Liquid Z630
Huawei Ascend Y530
Huawei Honor 3C
Samsung Galaxy Express 2
LG Risio
Samsung Galaxy S Duos 3
LeEco Le 2 X527
Lenovo Tab S8-50F
HTC Desire 816 Dual
Sony Xperia C4
Sony Xperia C
Samsung Galaxy Tab Pro 10.1 LTE
Xiaomi Mi Note
HTC One M8s
Samsung Galaxy S Advance
Oppo R5
Kyocera Hydro Life
Samsung Galaxy Alpha 4G
Cubot Rainbow 3G Smartphone
Cubot Max 4G Phablet
Google Galaxy Nexus
Huawei Ascend P6
Xiaomi Redmi
Huawei P8 (Gra-Ul10)
Lenovo A3000
Sony Xperia E
Sony Xperia S
Alcatel One Touch Pop C9
Samsung Galaxy S5 Duos
Samsung Galaxy J1 ACE
Sony Xperia Z
LG G5 H860 Titan
ASUS ZenFone 2E
Micromax Phone
HTC Desire 820s Dual
Vodafone Smart 4
Motorola Moto
Sony Xperia XZ
ZTE Blade X3
HTC One mini
Acer Liquid Zest 4G
Motorola RAZR
Lenovo IdeaTab A3000
Micromax Canvas Doodle 3
BQ Aquaris M5.5
Samsung Galaxy S III mini
Xiaomi Mi 5s Plus
LG Optimus L5 Dual
Blackberry Priv
Motorola Moto X 2nd Gen
Sony Xperia Tipo
BQ Tablet
Sony Xperia P
LG Optimus Zone 2
Samsung Galaxy Young Plus TV
Doogee X5 Pro
Acer Iconia B1-720
Wiko Rainbow
Samsung Illusion
Sony Xperia E4g
Acer Liquid Z530
Lenovo A606
Lenovo S650
Sony Xperia M5 Dual
HTC One Max
ZTE Blade Vec 4G
ZUK Z2 Plus
BQ Aquaris E4.5
Samsung Galaxy Express
LG L90
Meizu Pro 6
Lenovo A516
Xiaomi Redmi 2 Pro
Vodafone Smart 4 mini
HTC Desire 616 Dual
Sony Xperia ZL
Acer Iconia A210
LG Optimus G Pro
Lenovo Vibe X2
HTC One M9+
Huawei ShotX
Huawei Y3 Dual
Acer Liquid Z410
Huawei Ascend G700
Samsung Galaxy Young 2
HTC Desire 630
LG L70 Dual
Acer Iconia B1-A71
Sony Xperia E4 Dual
Alcatel One Touch Pixi 7
HTC Desire 310
Motorola Droid RAZR HD
Alcatel One Touch Pixi 7 Tablet
Pantech Phone
Samsung Galaxy S III Neo Plus
Acer Liquid Z630S
Sony Xperia X Performance
Samsung Galaxy Pocket 2 Duos
Wiko Ridge Fab 4G
Lenovo S580
OnePlus 2
LG G3 Dual
Lenovo A850
LG Optimus L70
Sony Xperia ZR
BQ Aquaris A4.5
HTC 10 M10h
Motorola Moto Maxx
LG L Fino
LG L80 Dual
Motorola Moto X Force
HTC One E9+
Vernee Thor
Nextbook
Oppo Neo 3
HTC One S
Sony Xperia Z4 Tablet
Intel Tablet
HTC Desire 826
Motorola Droid RAZR M
Asus ZenFone 3
Motorola RAZR D1
Alcatel Idol 4
Samsung Galaxy Tab Active
LG G2 Sprint
Elephone P8000
LG Lucid
Samsung Galaxy Ace II x
Micromax Canvas Fire
Lenovo A859
HTC One Dual
Huawei Ascend Y300
Nvidia SHIELD Tablet
Lenovo S860
Huawei Ascend G750
Samsung Galaxy Rugby Pro
Lenovo A316i
Motorola Droid RAZR
HTC Desire 320
Huawei Honor 6 Plus
Samsung Galaxy Tab 3 Kids
Meizu MX6
Nokia X2 Dual
ZTE Blade L2
Lenovo Yoga Tablet 10 HD+
Samsung Galaxy Tab 7.0 Plus
General Mobile Discovery II Mini
Nokia XL
Sony Xperia Tablet S
Samsung Galaxy Discover
Micromax YU Yureka
Gionee Phone
UMi Rome X
HTC One (M8 Eye)
Samsung Galaxy Ace 2
Lenovo A850+
Acer Iconia A1-811
Lenovo S820
Lenovo IdeaTab A2107A-H
Huawei P8 Max
LG Optimus 4X HD
Xiaomi Mi Mix
HTC One M7
LG Optimus L4 II
Oppo Find 7a
Lenovo S60
LG Prime Plus
Gionee M2
LG G2 4G LTE
Lenovo Yoga Tablet 2 8.0
LG Optimus L3
Samsung Galaxy S II Duos
LG L70
HomTom HT7 Pro
HTC Butterfly
LG Lancet
Wiko Birdy
ASUS Live
Hisense Phone
LG L65
LG Optimus L9 II
Samsung Galaxy Tab 7.7
Sharp Phone
Sony Xperia V
Huawei Ascend G510
Wiko Highway Signs
HTC One X9
HTC One X
LG Optimus L9
Lenovo Vibe X
Alcatel One Touch Flash 2
LG Optimus L7 II
Vodafone Smart Turbo
Sony Xperia A
Oppo Find 5 Mini
Cherry Mobile Flare S3
HTC One M8 Dual
Huawei Ascend G610
Lenovo P780
LG G2 Pro
Oppo R1
Quantum GO
LG G Pro Lite Dual
Elephone P9000
Samsung Galaxy K Zoom
HomTom HT7
Nokia X
ASUS Zenfone 5
Samsung Galaxy Slim Duos
LG Optimus L5 II Dual
Samsung Galaxy Trend 2
Vodafone Smart 4 max
Wileyfox Swift
Wiko Bloom
Lava T4.5
Sony Xperia Miro
Acer E39
Huawei Ascend Mate
UMi Super
Sony Xperia E1 Dual
Gionee Marathon M3
Alcatel One Touch Pop Star
Lenovo S920
Vodafone Smart 4 Turbo
LG Optimus L3 II
HTC Desire 816
Coolpad Modena
ASUS Transformer Pad Infinity
Sony Xperia Ion
Meizu MX5
HTC Desire 310 Dual
Blackview BV6000
Alcatel One Touch Idol 2
Xianomi Redmi Dual
Lenovo Golden Warrior A8
BQ Aquaris E5 FHD
Oppo Find 7
Acer Iconia A700
Meizu M1 Note
LG Optimus Exceed 2
Huawei Mediapad X1
Sony Xperia Z1s
Wiko Getaway
Sony Xperia T
Blackview BV5000
Blackberry Hamburg
Lava Pro 4.5
Vodafone Smart Mini
Kyocera Phone
Huawei Ascend G6 4G
HTC Desire 500
Micromax Canvas 2 Colors
Oppo Yoyo
Huawei P8 Grace
ASUS PadFone S
Wiko Highway Pure 4G
LG Optimus Vu2
Prestigio Tablet
Doogee F5
Samsung Galaxy Chat
Sony Xperia U
Lenovo S930
Lenovo Vibe Z2 Pro
Micromax Canvas Juice
Huawei Mediapad X2
BQ Aquaris E6
Sony Xperia TX
Samsung Galaxy Ace 4 LTE
BQ Aquaris 5
Samsung Galaxy S4 Zoom
HTC One E8 Dual
Samsung Galaxy Admire 2
Lenovo Tab S8-50L
Xiaomi MI 4S
Cherry Mobile H870
BLU Life ONE X
Meizu MX4
Ulefone Power
Motorola Atrix
ASUS Eee Pad Transformer Prime
Lenovo K900
BQ Aquaris M4.5
Lenovo A880
HTC One X+
Lenovo Vibe X3
HTC Desire 600 Dual
LG Tribute
Wiko Goa
Oukitel K10000
Acer Iconia A510
HTC U11
HTC Evo
Insignia Tablet
Cube Talk9X
Huawei Ascend G630
Lenovo A526
Samsung Galaxy Note FE
Lenovo Vibe Z
MegaFon Phone
Huawei Ascend G730
Samsung Galaxy Note 7
Huawei Ascend P7 mini
Sony Xperia Acro
Huawei Ascend Y550
BQ Aquaris 5 HD
Acer Liquid Z3
Lenovo A680
Acer Liquid Z500
HTC Desire 820 Dual
LG Spectrum
Tesla Smartphone 6.1
Amazon Kindle Fire HD 7
General Mobile Discovery II
HTC Desire 300
Huawei Ascend G6
Gionee Pioneer P4
Motorola RAZR HD
Sony Xperia ZL LTE
Acer Liquid E8
LG Optimus Dynamic II
Motorola RAZR D3
Samsung Galaxy S Relay 4G
OnePlus 3T
Huawei Ascend G525
HTC Desire X
Vodafone Smart III
HTC Desire 516 Dual
Samsung Galaxy S II Skyrocket
Cherry Mobile Flare S3 Octa
HTC Desire 601
Acer Liquid Z4
Fairphone 2
Galaxy Note 3 Dual
LG Optimus Fuel
Alcatel One Touch 6045K
Alcatel One Touch Idol X+
Alcatel One Touch Idol
Acer Liquid Z5
Samsung Galaxy J
Allview V1 Viper
Samsung Galaxy Tab 7.0
HTC Droid
ZTE Concord II
Hisense Tablet
Samsung Galaxy Xcover 2
ZTE Blade S6
LG Motion
Ulefone Metal
Sony Xperia Mini
HTC Sensation
Cherry Mobile H520
Sony Xperia Go
Micromax Canvas Knight
LG Venice
Alcatel One Touch Fierce 2
Huawei Honor 3X
Cherry Mobile Me Pop
LG Optimus L7 II Dual
Yota Phone 2
LG Realm
HTC One E8
Infinix Zero
Cherry Mobile Nova 2.0
LG F60
Allview AX4 Nano
HTC Desire SV
Micromax Canvas 4
HTC Desire C
HTC Desire 700 Dual
Meizu MX4 Pro
Alcatel One Touch Idol 2 Mini S
Lenovo Zuk Z2
Acer Iconia A511
Cherry Mobile Infinix Pure
Sony Xperia UL
Motorola X 2nd Gen
LG Optimus LTE2
Meizu PRO 5
Allview A5 Quad
Samsung Galaxy Young Duos
Philips S398
THL 5000
Samsung Galaxy Centura
Micromax Canvas 2.2
Samsung Galaxy S
Meizu MX3
Nextbit Robin
LG F70
Micromax Canvas 2 Plus
Cherry Mobile Flare 3
Xolo Q1000 Opus
Sony Xperia Arc
Cherry Mobile Omega Icon
Samsung Galaxy Rush
Karbonn Phone
LG Optimus GK
Samsung Galaxy Stratosphere II
Google Nexus S
ZTE V5
Ulefone Paris
HTC Desire 501 Dual
Nubia Z7 Max
Solone Sumo S5001
LG Optimus LTE III
Solone SHINY S5002
Acer Liquid E2
myPhone Luna
Casio G'zOne
Vodafone Smart 4 Power
Intex Aqua Fish
Lenovo P770
LG Optimus Select
Samsung Galaxy Fame Duos
Motorola IronRock
THL T6 Pro
Motorola Electrify
Xolo A500s
Xiaomi Mi Note Pro
HTC First
Doogee Dagger
LG L4 II
HTC One XL
LG Optimus Showtime
Alps x9
Huawei MediaPad X1
Cherry Mobile Flare XL
ASUS PadFone
HTC One VX
EVOLVEO StrongPhone Q8 LTE
Xolo A600
Samsung Galaxy S II X
Motorola Master
LG Optimus F7
Cherry Mobile One
THL T6S
Alcatel One Touch X
ASUS PadFone 2
Cherry Mobile Flare X
