"","DeviceName","Brand","technology","gprs","edge","announced","status","dimensions","weight","sim","type","size","resolution","display_c","card_slot","alert_types","loudspeaker_","wlan","bluetooth","gps","radio","usb","messaging","browser","java","features_c","battery_c","stand_by","talk_time","colors","sar_us","sar_eu","sensors","cpu","internal_memory","ram_memory","os","body_c","primary_","video","secondary","speed","network_c","chipset","features","music_play","protection","gpu","multitouch","loudspeaker","audio_quality","nfc","camera","display","performance","_2g_bands","_3_5mm_jack_","_3g_bands","_4g_bands","sound_c","camera_c","infrared_port","build","price","sar","phonebook","call_records","clock","alarm","games","memory_c","keyboard"
"97","Samsung Galaxy J5 Prime (2017)","Samsung","GSM / HSPA / LTE","Yes","Yes","Not announced yet","Rumored","142.7 x 69.6 x 8.1 mm (5.62 x 2.74 x 0.32 in)","-","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~69.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",NA,"microSD, up to 256 GB (dedicated slot)","Vibration; MP3, WAV ringtones","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS","FM radio; recording","microUSB 2.0, USB On-The-Go","SMS(threaded view), MMS, Email, Push Mail, IM","HTML5","No","- Xvid/DivX/MP4/H.265 player
  - MP3/WAV/eAAC+/FLAC player
  - Photo/video editor
  - Document viewer","Non-removable Li-Ion 2500 mAh battery",NA,NA,"Black, Gold",NA,NA,"Fingerprint (front-mounted), accelerometer, proximity","Quad-core 1.4 GHz Cortex-A53","16/32 GB"," 3 GB ","Android 7.1.1 (Nougat)",NA,"13 MP (f/1.9, 28mm), autofocus, LED flash","1080p@30fps","8 MP, f/2.0","HSPA, LTE Cat4 150/50 Mbps",NA,"Exynos 7570 Quad","Geo-tagging, touch focus, face detection, panorama, HDR",NA,"Corning Gorilla Glass (market dependent)","Mali-T720 MP2","Yes",NA,NA,NA,NA,NA,NA,"GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Yes","HSDPA 850 / 900 / 1900 / 2100 "," LTE",NA,NA,NA,"Front glass, aluminum body",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Samsung Galaxy Tab E 9.6","Samsung","GSM / HSPA","Yes","Yes","2015, June","Available. Released 2015, July","241.9 x 149.5 x 8.5 mm (9.52 x 5.89 x 0.33 in)","490 g (Wi-Fi)/ 495 g (3G) (1.08 lb)","Micro-SIM","TFT capacitive touchscreen, 16M colors","9.6 inches (~73.9% screen-to-body ratio)","800 x 1280 pixels (~157 ppi pixel density)",NA,"microSD, up to 128 GB","MP3, WAV ringtones","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","v4.0","Yes, with A-GPS, GLONASS","To be confirmed","microUSB v2.0","Email, Push Mail, IM","HTML5","No","- MP4/H.264 player
  - MP3/WAV/eAAC+/Flac player
  - Photo/video editor
  - Document viewer","Non-removable Li-Ion 5000 mAh battery",NA,"Up to 7 h 30 min (multimedia) (2G) / Up to 26 h (3G)","Pearl White, Metallic Black",NA,NA,"Accelerometer","Quad-core 1.3 GHz","8 GB"," 1.5 GB ","Android OS",NA,"5 MP, autofocus","720p@30fps","2 MP","HSPA",NA,NA,"Geo-tagging","Up to 95 h",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,"GSM 850 / 900 / 1800 / 1900 ","Yes","HSDPA 900 / 2100 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Samsung Galaxy Tab E 8.0","Samsung","CDMA / HSPA / EVDO / LTE","Yes","Yes","2016, January","Available. Released 2016, January","212.1 x 126.1 x 8.9 mm (8.35 x 4.96 x 0.35 in)","360 g (12.70 oz)","Nano-SIM","TFT capacitive touchscreen, 16M colors","8.0 inches (~69.4% screen-to-body ratio)","800 x 1280 pixels (~189 ppi pixel density)",NA,"microSD, up to 256 GB (dedicated slot)","MP3, WAV ringtones","Yes","Wi-Fi 802.11 a/b/g/n, dual-band, WiFi Direct, hotspot","v4.1, A2DP","Yes, with A-GPS, GLONASS",NA,"microUSB v2.0","Email, Push Mail, IM","HTML5","No","- MP4/H.264 player
  - MP3/WAV/eAAC+/Flac player
  - Photo/video editor
  - Document viewer","Non-removable Li-Ion 5000 mAh battery",NA,"Up to 13 h (3G)","Pearl White, Metallic Black","  1.59 W/kg (body) &nbsp; &nbsp; ",NA,"Accelerometer","Quad-core 1.3 GHz Cortex-A53","16 GB"," 1.5 GB ","Android OS, v5.1.1 (Lollipop), upgradable to v6.0 (Marshmallow)",NA,"5 MP, f/2.2, autofocus","720p@30fps","2 MP, f/2.2","HSPA, LTE Cat4 150/50 Mbps, EV-DO Rev.A 3.1 Mbps","LTE band 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 12(700), 17(700), 30(2300) - T377W","Qualcomm MSM8916 Snapdragon 410","Geo-tagging","Up to 117 h",NA,"Adreno 306","Yes",NA,NA,NA,NA,NA,NA,"CDMA 800 / 1900 - T377P, T377R","Yes","HSDPA 850 / 900 / 1900 / 2100 - T377","LTE band 3(1800), 7(2600), 8(900), 28(700), 38(2600) - T377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Apple iPhone 5","Apple","GSM / CDMA / HSPA / EVDO / LTE","Yes","Yes","2012, September","Available. Released 2012, September ","123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in)","112 g (3.95 oz)","Nano-SIM","LED-backlit IPS LCD, capacitive touchscreen, 16M colors","4.0 inches (~60.8% screen-to-body ratio)","640 x 1136 pixels (~326 ppi pixel density)",NA,"No","Vibration, proprietary ringtones","Yes","Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","v4.0, A2DP, LE","Yes, with A-GPS, GLONASS","No","v2.0, reversible connector","iMessage, SMS (threaded view), MMS, Email, Push Email","HTML5 (Safari)","No","- Active noise cancellation with dedicated mic
  - AirDrop file sharing
  - Siri natural language commands and dictation
  - iCloud cloud service
  - TV-out
  - Maps
  - Audio/video player/editor
  - Organizer
  - Document viewer/editor
  - Photo viewer/editor
  - Voice memo/dial/command
  - Predictive text input","Non-removable Li-Po 1440 mAh battery (5.45 Wh)","Up to 225 h (2G) / Up to 225 h (3G)","Up to 8 h (2G) / Up to 8 h (3G)","Black/Slate, White/Silver","  1.18 W/kg (head) &nbsp; &nbsp; 1.18 W/kg (body) &nbsp; &nbsp; ","  0.95 W/kg (head) &nbsp; &nbsp; 0.90 W/kg (body) &nbsp; &nbsp; ","Accelerometer, gyro, proximity, compass","Dual-core 1.3 GHz Swift (ARM v7-based)","16/32/64 GB"," 1 GB  DDR2","iOS 6, upgradable to iOS 9.2",NA,"8 MP, f/2.4, 33mm, autofocus, LED flash","1080p@30fps","1.2 MP, f/2.4, 35mm, 720p@30fps, face detection, FaceTime over Wi-Fi or Cellular","HSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps"," LTE 850 / 1800 / 2100 - GSM A1429","Apple A6","1/3.2"" sensor size, 1.4 µm pixel size, touch focus, geo-tagging, face detection, panorama, HDR (photo)","Up to 40 h","Corning Gorilla Glass, oleophobic coating","PowerVR SGX 543MP3 (triple-core graphics)","Yes","  Voice 66dB / Noise 66dB / Ring 67dB","  Noise -91.3dB / Crosstalk -76.5dB",NA,"  Photo / Video","  Contrast ratio: 1320:1 (nominal) / 3.997:1 (sunlight)","  Basemark OS II: 589 / Basemark X: 2229","GSM 850 / 900 / 1800 / 1900 - GSM A1428","Yes","HSDPA 850 / 900 / 1700 / 1900 / 2100 - GSM A1428","LTE band 4(1700/2100), 17(700) - GSM A1428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Apple iPhone 5c","Apple","GSM / CDMA / HSPA / LTE","Yes","Yes","2013, September","Available. Released 2013, September","124.4 x 59.2 x 9 mm (4.90 x 2.33 x 0.35 in)","132 g (4.66 oz)","Nano-SIM","LED-backlit IPS LCD, capacitive touchscreen, 16M colors","4.0 inches (~59.9% screen-to-body ratio)","640 x 1136 pixels (~326 ppi pixel density)",NA,"No","Vibration, proprietary ringtones","Yes",NA,"v4.0, A2DP, LE","Yes, with A-GPS, GLONASS","No","v2.0, reversible connector","iMessage, SMS (threaded view), MMS, Email, Push Email","HTML5 (Safari)","No","- Active noise cancellation with dedicated mic
  - Siri natural language commands and dictation
  - iCloud cloud service
  - TV-out
  - Maps
  - Audio/video player/editor
  - Organizer
  - Document viewer/editor
  - Photo viewer/editor
  - Voice memo/dial/command
  - Predictive text input","Non-removable Li-Po 1510 mAh battery (5.73 Wh)","Up to 250 h (2G) / Up to 250 h (3G)","Up to 10 h (3G)"," White, Blue, Green, Yellow, Pink","  1.15 W/kg (head) &nbsp; &nbsp; 1.17 W/kg (body) &nbsp; &nbsp; ","  1.00 W/kg (head) &nbsp; &nbsp; 0.96 W/kg (body) &nbsp; &nbsp; ","Accelerometer, gyro, proximity, compass","Dual-core 1.3 GHz Swift (ARM v7-based)","8/16/32 GB"," 1 GB ","iOS 7, upgradable to iOS 9.2",NA,"8 MP, f/2.4, 33mm, autofocus, LED flash","1080p@30fps","1.2 MP, 720p@30fps, face detection, FaceTime over Wi-Fi or Cellular","HSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps","LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 39(1900), 40(2300) - A1529","Apple A6","1/3.2"" sensor size, 1.4 µm pixel size, touch focus, geo-tagging, face detection, panorama, HDR (photo/panorama)","Up to 40 h",NA,"PowerVR SGX 543MP3 (triple-core graphics)","Yes","  Voice 66dB / Noise 65dB / Ring 66dB","  Noise -93.9dB / Crosstalk -80.3dB",NA,"  Photo / Video","  Contrast ratio: 1233:1 (nominal) / 3.512:1 (sunlight)","  Basemark OS II: 573 / Basemark X: 2225","GSM 850 / 900 / 1800 / 1900 - all versions","Yes","HSDPA 850 / 900 / 1700 / 1900 / 2100 - A1532 (GSM), A1532 (CDMA), A1456","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 8(900), 13(700), 17(700), 19(800), 20(800), 25(1900) - A1532 GSM, A1532 CDMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Samsung Galaxy Grand Prime","Samsung","GSM / HSPA / LTE","Yes","Yes","2014, September","Available. Released 2014, October","144.8 x 72.1 x 8.6 mm (5.70 x 2.84 x 0.34 in)","156 g (5.50 oz)","Optional Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.0 inches (~66.0% screen-to-body ratio)","540 x 960 pixels (~220 ppi pixel density)",NA,"microSD, up to 64 GB","Vibration; MP3, WAV ringtones","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","v4.0, A2DP","Yes, with A-GPS, GLONASS, BDS","FM radio","microUSB v2.0","SMS(threaded view), MMS, Email, Push Mail, IM","HTML5","No","- MP4/H.264 player
  - MP3/WAV/eAAC+/FLAC player
  - Photo/video editor
  - Document viewer","Removable Li-Ion 2600 mAh battery",NA,"Up to 17 h (3G)","White, Gray, Gold",NA,"  0.28 W/kg (head) &nbsp; &nbsp; 0.33 W/kg (body) &nbsp; &nbsp; ","Accelerometer, proximity, compass","Quad-core 1.2 GHz Cortex-A53","8 GB"," 1 GB ","Android OS, v4.4.4 (KitKat), upgradable to v5.0.2/v5.1.1 (Lollipop)",NA,"8 MP, f/2.2, autofocus, LED flash","1080p@30fps","5 MP, f/2.2, 1080p","HSPA, LTE Cat4 150/50 Mbps","LTE band 2(1900), 4(1700/2100), 5(850), 12(700) - G530T (T-Mobile)","Qualcomm MSM8916 Snapdragon 410","Geo-tagging, touch focus, face/smile detection, panorama","Up to 75 h",NA,"Adreno 306","Yes","  Voice 63dB / Noise 60dB / Ring 68dB","  Noise -95.0dB / Crosstalk -93.9dB","Yes (G530F, G530FZ models)","  Photo / Video","  Contrast ratio: 756 (nominal), 1.935 (sunlight)","  Basemark OS II: 504 / Basemark OS II 2.0: 520
Basemark X: 1904","GSM 850 / 900 / 1800 / 1900 - G530F, G530FZ, G530Y","Yes","HSDPA 850 / 900 / 1900 / 2100 - G530F, G530H, G530FZ, G530Y","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900) - SM-G530F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Samsung Galaxy Grand Prime Duos TV","Samsung","GSM / HSPA","Yes","Yes","2014, October","Available. Released 2014, October","144.7 x 72.4 x 8.6 mm (5.70 x 2.85 x 0.34 in)","152 g (5.36 oz)","Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.0 inches (~65.8% screen-to-body ratio)","540 x 960 pixels (~220 ppi pixel density)",NA,"microSD, up to 64 GB","Vibration; MP3, WAV ringtones","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","v4.0, A2DP","Yes, with A-GPS","FM radio","microUSB v2.0","SMS(threaded view), MMS, Email, Push Mail, IM","HTML5","No","- TV tuner
  - MP4/H.264 player
  - MP3/WAV/eAAC+/FLAC player
  - Photo/video editor
  - Document viewer","Removable Li-Ion 2600 mAh battery",NA,"Up to 17 h (3G)","Black, White","  0.56 W/kg (head) &nbsp; &nbsp; 1.02 W/kg (body) &nbsp; &nbsp; ","  0.53 W/kg (head) &nbsp; &nbsp; 0.37 W/kg (body) &nbsp; &nbsp; ","Accelerometer, proximity, compass","Quad-core 1.2 GHz Cortex-A53","8 GB"," 1 GB ","Android OS, v4.4.2 (KitKat)",NA,"8 MP, autofocus, LED flash","1080p@30fps","5 MP","HSPA",NA,"Qualcomm MSM8916 Snapdragon 410","Geo-tagging, touch focus",NA,NA,"Adreno 306","Yes",NA,NA,NA,NA,NA,NA,"GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Yes","HSDPA 850 / 900 / 1900 / 2100 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Samsung Galaxy Grand Prime Plus","Samsung","GSM / HSPA / LTE","Yes","Yes","2016, November","Available. Released 2016, November","144.8 x 72.1 x 8.9 mm (5.70 x 2.84 x 0.35 in)","160 g (5.64 oz)","Hybrid Dual SIM (Micro-SIM, dual stand-by)","PLS TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",NA,"microSD, up to 256 GB (uses SIM 2 slot)","Vibration; MP3, WAV ringtones","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS","FM radio, RDS, recording","microUSB 2.0, USB On-The-Go","SMS(threaded view), MMS, Email, Push Mail, IM","HTML","No","- MP4/H.264 player
  - MP3/WAV/eAAC+/FLAC player
  - Photo/video editor
  - Document viewer","Removable Li-Ion 2600 mAh battery",NA,"Up to 12 h (3G)","Black, Gold, Silver",NA,"0.53 W/kg (head) &nbsp; &nbsp; 1.27 W/kg (body) &nbsp; &nbsp; ","Accelerometer, proximity","Quad-core 1.4 GHz Cortex-A53","8 GB"," 1.5 GB ","Android 6.0 (Marshmallow)",NA,"8 MP, f/2.2, autofocus, LED flash","720p@30fps","5 MP, f/2.2, LED flash","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",NA,"Mediatek MT6737T","Geo-tagging, touch focus, face detection","Up to 59 h",NA,"Mali-T720MP2","Yes",NA,NA,"Yes",NA,NA,NA,"GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Yes","HSDPA 850 / 900 / 1900 / 2100 ","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)",NA,NA,NA,NA,"About 140 EUR",NA,NA,NA,NA,NA,NA,NA,NA
"110","Samsung Galaxy Tab A 10.1 (2016)","Samsung","GSM / HSPA / LTE","Yes","Yes","2016, May","Available. Released 2016, May","254.2 x 155.3 x 8.2 mm (10.01 x 6.11 x 0.32 in)","525 g (1.16 lb)","Nano-SIM","PLS LCD capacitive touchscreen, 16M colors","10.1 inches (~74.9% screen-to-body ratio)","1200 x 1920 pixels (~224 ppi pixel density)",NA,"microSD, up to 256 GB (dedicated slot)","MP3, WAV ringtones","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","v4.2, A2DP, LE","Yes, with A-GPS, GLONASS, Beidou",NA,"microUSB v2.0","Email, Push Mail, IM","HTML5","No","- MP4/H.264 player
  - MP3/WAV/eAAC+/Flac player
  - Photo/video editor
  - Document viewer","Non-removable Li-Ion 7300 mAh battery",NA,NA,"Pearl White, Metallic Black",NA,"  0.92 W/kg (body) &nbsp; &nbsp; ","Accelerometer","Octa-core (4x1.6 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)","16 GB"," 3 GB  (S-Pen version)","Android OS, v6.0 (Marshmallow)",NA,"8 MP, f/1.9, autofocus, LED flash","1080p@30fps","2 MP, f/2.2, 1080p video","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)","Exynos 7870","Geo-tagging, touch focus, panorama",NA,NA,"Mali-T830 MP2","Yes",NA,NA,NA,NA,NA,NA,"GSM 850 / 900 / 1800 / 1900 ","Yes","HSDPA 850 / 900 / 1900 / 2100 ","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 18(800), 19(800), 38(2600), 40(2300)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Samsung Galaxy A3","Samsung","GSM / HSPA / LTE","Yes","Yes","2014, October","Available. Released 2014, December","130.1 x 65.5 x 6.9 mm (5.12 x 2.58 x 0.27 in)","110.3 g (3.88 oz)","Nano-SIM","Super AMOLED capacitive touchscreen, 16M colors","4.5 inches (~65.5% screen-to-body ratio)","540 x 960 pixels (~245 ppi pixel density)",NA,"microSD, up to 64 GB","Vibration; MP3, WAV ringtones","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","v4.0, A2DP, EDR, LE","Yes, with A-GPS, GLONASS, BDS","FM radio, recording","microUSB v2.0","SMS(threaded view), MMS, Email, Push Mail, IM","HTML5","No","- ANT+ support
  - Active noise cancellation with dedicated mic
  - MP4/WMV/H.264 player
  - MP3/WAV/WMA/eAAC+/FLAC player
  - Photo/video editor
  - Document viewer","Non-removable Li-Ion 1900 mAh battery",NA,"Up to 12 h (3G)","Pearl White, Midnight Black, Platinum Silver, Soft Pink, Light Blue, Champagne Gold",NA,"  0.24 W/kg (head) &nbsp; &nbsp; 0.30 W/kg (body) &nbsp; &nbsp; ","Accelerometer, proximity, compass","Quad-core 1.2 GHz Cortex-A53","16 GB"," 1 GB or 1.5 GB ","Android OS, v4.4.4 (KitKat), upgradable to v5.0.2 (Lollipop)",NA,"8 MP, f/2.4, 31mm, autofocus, LED flash","1080p@30fps","5 MP, f/2.2, 23mm","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","LTE band 3(1800), 7(2600), 8(900), 28(700) - A300YZ","Qualcomm MSM8916 Snapdragon 410","Geo-tagging, touch focus, face detection, panorama","Up to 60 h","Corning Gorilla Glass 4","Adreno 306","Yes","  Voice 65dB / Noise 66dB / Ring 76dB",NA,"Yes (LTE model only)","  Photo / Video",NA,"  Basemark OS II: 556 / Basemark X: 1895","GSM 850 / 900 / 1800 / 1900 - all versions","Yes","HSDPA 850 / 900 / 1900 / 2100 - A300F, A300FU, A300G, A300HQ, A300M, A300YZ","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800) - A300F, A300FU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Samsung Galaxy A3 Duos","Samsung","GSM / HSPA / LTE","Yes","Yes","2014, October","Available. Released 2014, December","130.1 x 65.5 x 6.9 mm (5.12 x 2.58 x 0.27 in)","110.3 g (3.88 oz)","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","4.5 inches (~65.5% screen-to-body ratio)","540 x 960 pixels (~245 ppi pixel density)",NA,"microSD, up to 64 GB (uses SIM 2 slot)","Vibration; MP3, WAV ringtones","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","v4.0, A2DP, EDR, LE","Yes, with A-GPS, GLONASS","FM radio, recording","microUSB v2.0","SMS(threaded view), MMS, Email, Push Mail, IM","HTML5","No","- ANT+ support
  - Active noise cancellation with dedicated mic
  - MP4/WMV/H.264 player
  - MP3/WAV/WMA/eAAC+/FLAC player
  - Photo/video editor
  - Document viewer","Non-removable Li-Ion 1900 mAh battery",NA,NA,"Pearl White, Midnight Black, Platinum Silver, Soft Pink, Light Blue, Champagne Gold",NA,"  0.24 W/kg (head) &nbsp; &nbsp; 0.30 W/kg (body) &nbsp; &nbsp; ","Accelerometer, proximity, compass","Quad-core 1.2 GHz Cortex-A53","16 GB"," 1 GB ","Android OS, v4.4.4 (KitKat)",NA,"8 MP, f/2.4, 31mm, autofocus, LED flash","1080p@30fps","5 MP, f/2.2, 23mm","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",NA,"Qualcomm MSM8916 Snapdragon 410","Geo-tagging, touch focus, face detection, panorama",NA,"Corning Gorilla Glass 4","Adreno 306","Yes","  Voice 65dB / Noise 66dB / Ring 76dB",NA,"Yes (LTE model only)",NA,NA,"  Basemark OS II: 556 / Basemark X: 1895","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Yes","HSDPA 850 / 900 / 1900 / 2100 ","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Samsung Galaxy A3 (2016)","Samsung","GSM / HSPA / LTE","Yes","Yes","2015, December","Available. Released 2015, December","134.5 x 65.2 x 7.3 mm (5.30 x 2.57 x 0.29 in)","132 g (4.66 oz)","Optional Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","4.7 inches (~69.4% screen-to-body ratio)","720 x 1280 pixels (~312 ppi pixel density)",NA,"microSD, up to 128 GB","Vibration; MP3, WAV ringtones","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","v4.1, A2DP, EDR, LE","Yes, with A-GPS, GLONASS/ BDS (market dependant)","FM radio","microUSB v2.0","SMS(threaded view), MMS, Email, Push Mail, IM","HTML5","No","- ANT+ support
  - Active noise cancellation with dedicated mic
  - MP4/WMV/H.264 player
  - MP3/WAV/WMA/eAAC+/FLAC player
  - Photo/video editor
  - Document viewer","Non-removable Li-Ion 2300 mAh battery",NA,"Up to 14 h (3G)","Black, White, Gold, Pink",NA,"  0.49 W/kg (head) &nbsp; &nbsp; 0.62 W/kg (body) &nbsp; &nbsp; ","Accelerometer, proximity, compass","Quad-core 1.5 GHz Cortex-A53","16 GB"," 1.5 GB ","Android OS, v5.1.1 (Lollipop)",NA,"13 MP, f/1.9, autofocus, LED flash","1080p@30fps","5 MP, f/1.9","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",NA,"Qualcomm MSM8916 Snapdragon 410
Exynos 7578","Geo-tagging, touch focus, face detection, panorama","Up to 58 h","Corning Gorilla Glass 4","Adreno 306
Mali-T720MP2","Yes",NA,NA,"Yes (LTE model only)",NA,NA,NA,"GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (optional)","Yes","HSDPA 850 / 900 / 1900 / 2100 - A310F","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300) - A310F",NA,NA,NA,"Corning Gorilla Glass 4 back panel",NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Samsung Galaxy A3 (2017)","Samsung","GSM / HSPA / LTE","Yes","Yes","2017, January","Available. Released 2017, January","135.4 x 66.2 x 7.9 mm (5.33 x 2.61 x 0.31 in)","138 g (4.87 oz)","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","4.7 inches (~67.9% screen-to-body ratio)","720 x 1280 pixels (~312 ppi pixel density)","- Always-on display","microSD, up to 256 GB (dedicated slot) - single SIM
microSD, up to 256 GB (uses SIM 2 slot) - dual SIM","Vibration; MP3, WAV ringtones","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS","FM radio","2.0, Type-C 1.0 reversible connector","SMS(threaded view), MMS, Email, Push Mail, IM","HTML5","No","- ANT+ support
  - MP4/WMV/H.265 player
  - MP3/WAV/WMA/eAAC+/FLAC player
  - Photo/video editor
  - Document viewer","Non-removable Li-Ion 2350 mAh battery",NA,"Up to 17 h (3G)","Black Sky, Gold Sand, Blue Mist, Peach Cloud",NA,"0.35 W/kg (head) &nbsp; &nbsp; 1.38 W/kg (body) &nbsp; &nbsp; ","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer","Octa-core 1.6 GHz Cortex-A53","16 GB"," 2 GB ","Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat)","- Samsung Pay
  - IP68 certified - dust/water proof over 1.5 meter and 30 minutes","13 MP, f/1.9, autofocus, LED flash, check quality","1080p@30fps, check quality","8 MP, f/1.9","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800), 28(700), 38(2600), 40(2300), 41(2500) - A320Y","Exynos 7870 Octa","Geo-tagging, touch focus, face detection, panorama","Up to 55 h","Corning Gorilla Glass 4","Mali-T830","Yes","  Voice 66dB / Noise 66dB / Ring 75dB    ","  Noise -94.7dB / Crosstalk -92.3dB","Yes","  Photo / Video","  Contrast ratio: Infinite (nominal),  3.688 (sunlight)","  Basemark OS II 2.0: 999 / Basemark X: 5160","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)","Yes","HSDPA 850 / 900 / 1900 / 2100 ","LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)","- Active noise cancellation with dedicated mic",NA,NA,"Corning Gorilla Glass 4 back panel","About 330 EUR",NA,NA,NA,NA,NA,NA,NA,NA
